datetime,open,high,low,close
2026-06-09 08:30:00+00:00,160.19855,160.21419,160.18989,160.21001
2026-06-09 08:45:00+00:00,160.20699,160.2212,160.17392,160.17843
2026-06-09 09:00:00+00:00,160.17492,160.1902,160.15955,160.1603
2026-06-09 09:15:00+00:00,160.1627,160.18814,160.14622,160.15587
2026-06-09 09:30:00+00:00,160.15123,160.16794,160.15065,160.16443
2026-06-09 09:45:00+00:00,160.16228,160.19641,160.14985,160.19372
2026-06-09 10:00:00+00:00,160.18796,160.21252,160.1764,160.20341
2026-06-09 10:15:00+00:00,160.19996,160.20522,160.16187,160.16505
2026-06-09 10:30:00+00:00,160.16694,160.18502,160.16577,160.16731
2026-06-09 10:45:00+00:00,160.16872,160.17936,160.15682,160.17343
2026-06-09 11:00:00+00:00,160.16982,160.1774,160.14596,160.15874
2026-06-09 11:15:00+00:00,160.15424,160.17374,160.15424,160.15844
2026-06-09 11:30:00+00:00,160.1596,160.1803,160.14841,160.1763
2026-06-09 11:45:00+00:00,160.17137,160.17807,160.15769,160.16434
2026-06-09 12:00:00+00:00,160.16098,160.17425,160.15325,160.16909
2026-06-09 12:15:00+00:00,160.16743,160.19413,160.16614,160.19093
2026-06-09 12:30:00+00:00,160.18642,160.19123,160.17343,160.17778
2026-06-09 12:45:00+00:00,160.17815,160.20128,160.1774,160.19968
2026-06-09 13:00:00+00:00,160.19621,160.20277,160.18298,160.19368
2026-06-09 13:15:00+00:00,160.19167,160.20339,160.18548,160.20107
2026-06-09 13:30:00+00:00,160.19767,160.22816,160.18671,160.21836
2026-06-09 13:45:00+00:00,160.21905,160.22359,160.16634,160.21422
2026-06-09 14:00:00+00:00,160.21098,160.21769,160.16765,160.19033
2026-06-09 14:15:00+00:00,160.18695,160.22439,160.18695,160.1899
2026-06-09 14:30:00+00:00,160.19094,160.20183,160.18585,160.18936
2026-06-09 14:45:00+00:00,160.19176,160.25536,160.19176,160.25523
2026-06-09 15:00:00+00:00,160.2522,160.26435,160.24364,160.26023
2026-06-09 15:15:00+00:00,160.25723,160.27226,160.23854,160.2679
2026-06-09 15:30:00+00:00,160.26097,160.2993,160.2596,160.26435
2026-06-09 15:45:00+00:00,160.27627,160.29761,160.22707,160.22976
2026-06-09 16:00:00+00:00,160.23282,160.30062,160.22305,160.29787
