datetime,open,high,low,close
2026-03-06 23:00:00+00:00,0.77654,0.77888,0.77592,0.77639
2026-03-06 23:15:00+00:00,0.77639,0.77642,0.77631,0.77631
2026-03-06 23:30:00+00:00,0.7763,0.77645,0.77628,0.77641
2026-03-06 23:45:00+00:00,0.7764,0.77643,0.77629,0.77635
2026-03-07 00:00:00+00:00,0.77635,0.77656,0.77632,0.7764
2026-03-07 00:15:00+00:00,0.77641,0.77651,0.7764,0.77648
2026-03-07 00:30:00+00:00,0.77648,0.77651,0.77647,0.7765
2026-03-07 00:45:00+00:00,0.77648,0.77651,0.77647,0.77649
2026-03-07 01:00:00+00:00,0.77648,0.77651,0.77647,0.77648
2026-03-07 01:15:00+00:00,0.77648,0.77652,0.77647,0.77648
2026-03-07 01:30:00+00:00,0.77648,0.77652,0.77647,0.7765
2026-03-07 01:45:00+00:00,0.77649,0.77652,0.77647,0.77649
2026-03-07 02:00:00+00:00,0.77648,0.77652,0.77647,0.77648
2026-03-07 02:15:00+00:00,0.77648,0.77651,0.77647,0.77648
2026-03-07 02:30:00+00:00,0.77648,0.77652,0.77647,0.77649
2026-03-07 02:45:00+00:00,0.77648,0.77652,0.77647,0.7765
2026-03-07 03:00:00+00:00,0.77648,0.77651,0.77647,0.77648
2026-03-07 03:15:00+00:00,0.77648,0.77652,0.77647,0.77648
2026-03-07 03:30:00+00:00,0.77648,0.77651,0.77647,0.77649
2026-03-07 03:45:00+00:00,0.77648,0.77652,0.77647,0.7765
2026-03-07 04:00:00+00:00,0.77648,0.77651,0.77647,0.77648
2026-03-07 04:15:00+00:00,0.77648,0.77652,0.77647,0.77647
2026-03-07 04:30:00+00:00,0.77648,0.77652,0.77647,0.77649
2026-03-07 04:45:00+00:00,0.77648,0.77651,0.77647,0.7765
2026-03-07 05:00:00+00:00,0.77648,0.77652,0.77647,0.77649
2026-03-07 05:15:00+00:00,0.77648,0.77652,0.77647,0.77648
2026-03-07 05:30:00+00:00,0.77648,0.77651,0.77647,0.77649
2026-03-07 05:45:00+00:00,0.77648,0.77651,0.77647,0.7765
2026-03-07 06:00:00+00:00,0.77648,0.77651,0.77647,0.77649
2026-03-07 06:15:00+00:00,0.77648,0.77652,0.77647,0.77647
2026-03-07 06:30:00+00:00,0.77648,0.77651,0.77647,0.77649
2026-03-07 06:45:00+00:00,0.77649,0.77651,0.77647,0.7765
2026-03-07 07:00:00+00:00,0.77648,0.77652,0.77647,0.77649
2026-03-07 07:15:00+00:00,0.77648,0.77651,0.77647,0.77648
2026-03-07 07:30:00+00:00,0.77648,0.77652,0.77647,0.77648
2026-03-07 07:45:00+00:00,0.77648,0.77651,0.77634,0.7765
2026-03-07 08:00:00+00:00,0.77649,0.77652,0.77647,0.77649
2026-03-07 08:15:00+00:00,0.77648,0.77652,0.77647,0.77648
2026-03-07 08:30:00+00:00,0.77648,0.77651,0.77647,0.77648
2026-03-07 08:45:00+00:00,0.77648,0.77652,0.77647,0.77649
2026-03-07 09:00:00+00:00,0.77648,0.77652,0.77647,0.7765
2026-03-07 09:15:00+00:00,0.77648,0.77651,0.77647,0.77648
2026-03-07 09:30:00+00:00,0.77648,0.77652,0.77647,0.77648
2026-03-07 09:45:00+00:00,0.77647,0.7765,0.77634,0.77649
2026-03-07 10:00:00+00:00,0.77648,0.77653,0.77647,0.7765
2026-03-07 10:15:00+00:00,0.77648,0.77651,0.77647,0.77649
2026-03-07 10:30:00+00:00,0.77649,0.77652,0.77647,0.77647
2026-03-07 10:45:00+00:00,0.77648,0.77651,0.77645,0.77649
